,Title,Published_date,Views,Favorite,Comments,Month
62,INDIGO Class 12 | Class 12 English | Detailed Lecture + Notes + PYQ | CBSE | NCERT | Board War II,2022-03-09,289891,0,607,Mar
63,Biotechnology Principles and Processes in ONE SHOT | Class-12th Biology | 12th Boards,2022-03-07,148281,0,475,Mar
64,Almost NO Fees : Top Engineering University of India,2022-03-05,3640468,0,893,Mar
65,WAVE OPTICS Class 12 in One Shot | Class 12th Physics | CBSE/JEE/NEET | Class 12th Term 2,2022-03-05,397076,0,1110,Mar
66,3 Sleep Rules for Students!,2022-03-02,2418615,0,426,Mar
67,Amines Class 12 in ONE SHOT | Class 12 : Term 2 | Class 12 Chemistry | CBSE | NCERT,2022-03-02,898880,0,1642,Mar
68,Big News : JEE Mains Official Dates🔥 April & May Exams,2022-03-01,89859,0,342,Mar
69,Three Dimensional Geometry in ONE SHOT | 3D Geometry | Class-12,2022-03-01,239248,0,885,Mar
70,Microbes in Human Welfare Class 12 | One Shot | Class 12 Biology | Class 12 BOARDS/NEET,2022-02-26,94257,0,240,Feb
71,Optical Instruments Class 12 One Shot  | CBSE 12th Board | Class 12 Physics | NCERT | Apni Kaksha,2022-02-25,147743,0,367,Feb
72,Exam Date Revealed : JEE 2022 Students | Big News 🔥 | JEE Advance 2022,2022-02-24,156263,0,493,Feb
73,1 Tip to get Work Done!,2022-02-22,2413512,0,311,Feb
74,CARBOXYLIC ACID in ONE SHOT | Class-12 | Ketone Aldehyde and Carboxylic Acid | 12th Board,2022-02-22,291583,0,647,Feb
75,VECTOR ALGEBRA Class 12 in One Shot | Class 12 Maths | Class 12 BOARDS/JEE Mains | Class 12 TERM 2,2022-02-20,281696,0,691,Feb
76,Human Health and Disease Class 12 | One Shot | Class 12 Biology | Class 12 BOARDS/NEET,2022-02-18,211497,0,802,Feb
77,Ray Optics in One Shot | Class 12 | Class 12 BOARD/JEE/NEET | BOARD WAR 2,2022-02-16,705415,0,2020,Feb
78,KETONE ALDEHYDE and CARBOXYLIC ACID in ONE SHOT | Class-12 | Chapter in One Shot | CBSE/JEE/NEET,2022-02-14,1173831,0,2893,Feb
79,Differential Equations in ONE SHOT | Class 12 | Complete Chapter in ONE SHOT | Class 12 Boards |,2022-02-12,135595,0,451,Feb
80,Chemical Kinetics in ONE SHOT | Class 12 | Complete Chapter in ONE SHOT |  Class 12 Boards,2022-02-09,428541,0,966,Feb
81,NUCLEI - Class 12 | Class 12 Physics | Class 12 CBSE | Class 12 Boards | ONE SHOT,2022-02-08,433275,0,1008,Feb
82,Mummy ki ek baat aaj bhi yaad hei ❤️,2022-02-08,174109,0,181,Feb
83,Just Focus on One Thing before your exams🔥,2022-02-06,382870,0,349,Feb
84,1 Reason why students score Less in Exams,2022-02-05,380736,0,205,Feb
85,Application Of Integrals in ONE SHOT || Class-12 Board | CBSE,2022-02-05,104224,0,415,Feb
86,Coordination Compounds Class 12 | Complete Chapter In ONE SHOT | Class 12 Boards /JEE Mains/NEET,2022-02-04,840797,0,2072,Feb
87,DEFINITE INTEGRATION in ONE SHOT | Class 12 Board | Class 12 NCERT,2022-02-01,150567,0,559,Feb
88,Atoms | Complete Chapter In ONE SHOT | Class 12 Boards /JEE Mains/NEET,2022-01-31,482388,0,806,Jan
89,Class 12 Maths Strategy | TERM 2 | How to score 40/40 in Class 12 Maths Term 2?,2022-01-29,139576,0,285,Jan
90,D & F  Block - Complete Chapter ONE SHOT | Class 12 | Class 12 NCERT | Class 12 Board/JEE Mains/NEET,2022-01-28,725726,0,1508,Jan
91,"IIT Fees, NIT & Private Engineering Colleges Fees",2022-01-27,1830483,0,1747,Jan
92,INDEFINITE INTEGRATION -  Complete Chapter ONE SHOT | Class 12 | Class 12 CBSE | Class 12 Boards,2022-01-26,688057,0,3314,Jan
93,Can You Still Do It ? Harsh Reality | Reality Check For ALL STUDENTS #JEE #NEET,2022-01-25,107230,0,472,Jan
94,Dual Nature of Radiation and Matter in ONE SHOT | Class 12 | Class 12 BOARD/JEE/NEET | BOARD WAR 2,2022-01-24,692120,0,1371,Jan
95,Don't do this 1 Mistake during Preparation | JEE/NEET Special🔥,2022-01-24,39493,0,186,Jan
96,Electrochemistry Class 12 One Shot | Animated Content | Class 12 BOARD/JEE/NEET | BOARD WAR 2 Series,2022-01-22,1153954,0,2649,Jan
97,Remember one thing #amanBhaiya #virat kohli,2022-01-12,328493,0,261,Jan
98,3 Advice for all School Students🔥,2022-01-10,300811,0,184,Jan
99,Class 12 Board - 5 BIG Benefits that may help you in Future,2022-01-07,116330,0,773,Jan
100,JEE & NEET - How to fight Omicron Strike during these hard times ?,2022-01-06,153830,0,484,Jan
101,Motivational Poem For ALL STUDENTS By OM Bhaiya ( OP Sir ),2022-01-05,44582,0,209,Jan
102,How to Step Up - LateNight Talk | Students special,2022-01-04,86947,0,160,Jan
103,JEE Main - Chemistry Most Important Topics & Resources | You don't want to miss this,2022-01-02,231771,0,666,Jan
104,JEE Main - Maths Most Important Topics | You don't want to miss this,2021-12-30,310932,0,1151,Dec
105,Funniest Trick For ELECTROCHEMICAL SERIES by OM Bhaiya ( OP Sir ) | Electrochemistry  #OPSir,2021-12-25,80692,0,229,Dec
106,AARAMBH - ek nayi JEET ki shuruaat | Ab Tu Phodega | Teaser,2021-12-23,160479,0,770,Dec
107,Strategy For CLASS-12 Chemistry ( Term-2 ) By OM Bhaiya (OP Sir )| How to prepare TERM-II Class-12,2021-12-18,201346,0,715,Dec
108,ISOMERISM IN COORDINATION COMPOUNDS | ISOMERISM IN ONE SHOT | CLASS 12th Chemistry | JEE/NEET |,2021-12-17,28108,0,83,Dec
109,A Special Video For ALL STUDENTS by OM Bhaiya ( OP Sir ) || Motivational Video For Students,2021-12-15,81038,0,428,Dec
110,CLASS 12 CHEMISTRY EXAM REVIEW BY @Aman Dhattarwal 🔥🔥 | STUDENT REACTION |,2021-12-14,164089,0,648,Dec
111,Chemistry Answer Key🔥 | Class 12 Board Exam | Full Answer Key for CHEMISTRY Term 1,2021-12-14,89758,0,123,Dec
112,COMPLETE CLASS 12th TERM 1 200+ MCQs MARATHON of CHEMISTRY🔥🔥 | Class 12th NCERT | BOARD EXAM,2021-12-13,175933,0,202,Dec
113,COMPLETE TERM 1 CLASS 12 CHEMISTRY MEGA MARATHON 🔥🔥 | Class 12 Boards | TO CHALO PHODTE HAIN!,2021-12-12,233238,0,366,Dec
114,COMPLETE TERM 1 CLASS 12 CHEMISTRY MEGA MARATHON 🔥🔥 | Class 12 Boards | Apni Kaksha |,2021-12-11,384531,0,573,Dec
115,CBSE Class 12 PHYSICS Exam TERM -1 | STUDENT REACTION | EXAM REVIEW | Apni Kaksha | Board Exam |,2021-12-10,222797,0,1783,Dec
116,COMPLETE CLASS 12 TERM 1 PHYSICS MARATHON | 100+ MOST IMPORTANT MCQs | CLASS 12 NCERT PHYSICS |,2021-12-09,154566,0,232,Dec
117,Class 12 Physics in One Day | Revision Notes | Term 1 Board Exam,2021-12-08,163769,0,1182,Dec
118,CBSE Class 12 MATHS Exam TERM -1 | STUDENT REACTION | EXAM REVIEW | Apni Kaksha | Board Exam |,2021-12-06,202259,0,1702,Dec
119,CBSE Class 12 English Exam TERM -1 | STUDENT REACTION | EXAM REVIEW | Apni Kaksha |,2021-12-03,414302,0,3936,Dec
120,COORDINATION COMPOUNDS CLASS 12 | JEE/NEET | Class 12 | Crystal Field Theory | Metal Carbonyls |,2021-12-02,11927,0,54,Dec
121,COORDINATION COMPOUNDS CLASS 12 | JEE/NEET | Class 12 | Crystal Field Theory | CFSE | Apni Kaksha |,2021-12-01,11949,0,66,Dec
122,Class 12 English | Last Minute Tips for 40/40 | Board Exam,2021-11-30,316536,0,1930,Nov
123,INVERSE TRIGONOMETRIC FUNCTIONS Class 12 in One Shot | Class 12 Maths | Class 12 Board Exam | TERM 1,2021-11-30,74285,0,191,Nov
124,COORDINATION COMPOUNDS CLASS 12 | JEE/NEET | Class 12 | Valence Bond Theory  | Werner's Theory | VBT,2021-11-29,13976,0,81,Nov
125,RELATIONS & FUNCTIONS Class 12 in One Shot | Class 12 Maths | Class 12 Board Exam | TERM 1 | 40/40 |,2021-11-29,84220,0,320,Nov
126,COORDINATION COMPOUNDS CLASS 12 | JEE/NEET | Class 12 | LIGANDS | NOMENCLATURE | EAN | IITJEE |,2021-11-28,27010,0,231,Nov
127,CONTINUITY & DIFFERENTIABILITY Class 12 in One Shot | Class 12 Maths | Class 12 Board Exam | TERM 1,2021-11-27,130966,0,457,Nov
128,APPLICATION OF DERIVATIVES Class 12 in One Shot | Class 12 Maths |  Class 12 Board Exam | TERM 1 |,2021-11-27,94253,0,292,Nov
129,S Block Εlements in ONE SHOT | JEE/NEET | Class 11 | All elements and Compounds | Part - 2 |,2021-11-26,43496,0,152,Nov
130,S Block Εlements in ONE SHOT | JEE/NEET | Class 11 | S - Block | Inorganic Chemistry Series |,2021-11-25,130639,0,316,Nov
131,How to sleep before Exams | Breaking Myths | for all students | Class 12 | Class 10,2021-11-25,74104,0,274,Nov
132,LINEAR PROGRAMMING Class 12 in One Shot | Class 12 Maths | Class 12 Boards | Apni Kaksha | TERM 1 |,2021-11-24,48220,0,204,Nov
133,IONIC BONDING | Fajan's Rule | Born-Haber Cycle | Lattice Energy | Inorganic Chemistry for JEE/NEET,2021-11-23,10898,0,59,Nov
134,Molecular Orbital Theory [ MOT ] | Chemical Bonding | Inorganic for JEE/NEET | Class-11,2021-11-22,20647,0,113,Nov
135,SOLUTIONS | Most Important MCQs | Class 12 Boards| Term 1 | Board Exam | MCQs Series | Apni Kaksha |,2021-11-22,49125,0,236,Nov
136,Solid State | Most Important MCQs | Class 12 Boards| Term 1 | Board Exam | MCQs Series | Apni Kaksha,2021-11-21,73146,0,331,Nov
137,One Mistake done by Millions of students | Iss Bhoj ko chod de Baba!,2021-11-18,270281,0,740,Nov
138,YOU BECOME WHAT YOU THINK | OP SIR MOTIVATION FOR STUDENTS |,2021-11-15,41685,0,163,Nov
139,Biomolecules | Most Important MCQs with Detailed Solution | Class 12 | Term 1,2021-11-14,74075,0,363,Nov
140,Alcohols Phenol and Ethers | Most Important MCQs with Detailed Solution | Class 12 | Term 1,2021-11-13,77556,0,232,Nov
141,Another Milestone - A message for students 🔥,2021-11-12,91772,0,245,Nov
142,Haloalkanes and Haloarenes | Most Important MCQs with Detailed Solution | Class 12 | Term 1,2021-11-12,109873,0,424,Nov
143,One LIFE CHANGING LESSON from  Padma Shri HC VERMA SIR,2021-11-11,115975,0,226,Nov
144,Strong Motivation for Students by OP Sir ! 🔥🔥,2021-11-09,72494,0,258,Nov
145,P Block Elements Class 12 | Must Do MCQs with Detailed Solution | Class 12 | CBSE Term 1 |,2021-11-06,109630,0,328,Nov
146,CBSE 12 Maths Official Sample Paper | TERM 1 | Detailed Solution | Apni Kaksha | Raghav Garg |,2021-11-05,36823,0,118,Nov
147,I did 100-150 Test Papers | JEE Advanced Rank 3 | Complete Podcast,2021-11-05,207006,0,455,Nov
148,A strong message  for all students by OP Sir on Diwali 🪔 | Bina chot ke Pathar Bhagwan Nahi Banta,2021-11-03,108934,0,167,Nov
149,Most Important MCQ's of P-Block | Class-12 Board | NCERT,2021-10-29,45800,0,588,Oct
150,Molecular Basis of Inheritance | Class 12th Biology for Boards | MCQ Series - Term 1,2021-10-28,31715,0,58,Oct
151,Principle of Inheritance and Variation | Class 12th Biology for Boards | MCQ Series - Term 1,2021-10-27,32223,0,61,Oct
152,Super Tricks To Remember all AMPHOTERIC OXIDES in 5 min | JEE/NEET/12th,2021-10-26,25909,0,136,Oct
153,All Reactions of P Block in ONE SHOT | P Block ( Part-2 ) Class 12 BOARDS | NCERT Based,2021-10-25,246553,0,1064,Oct
154,Current Electricity | Class 12th Physics for Boards | MCQ Series - Term 1,2021-10-24,77900,0,189,Oct
155,Continuity & Differentiability | Class 12th Maths for Boards | MCQ Series - Term 1,2021-10-24,74180,0,185,Oct
156,Change this One Thing to get Maximum Result | How to control your Environment and Surroundings ?,2021-10-23,109337,0,248,Oct
157,Electric Potential and Capacitance | Class 12th Physics for Boards | MCQ Series - Term 1,2021-10-21,91802,0,202,Oct
158,P Block Εlements in ONE SHOT (Part-1) | 12th BOARD | Board Exams #OPSir,2021-10-20,640454,0,2610,Oct
159,How to Fix your Bad Habits? One Point Strategy,2021-10-19,61694,0,213,Oct
160,Fix this One thing in Life for Productivity | For Students 🔥,2021-10-15,961592,0,302,Oct
161,Class 12 | Organic Chemistry Road Maps for Term 1 | Board Exams,2021-10-14,81361,0,448,Oct
162,Electric Charges & Fields Part 2 | Class 12th Physics for Boards | MCQ Series - Term 1,2021-10-13,72561,0,206,Oct
163,Class 12 Chemistry in 15 days |  Solid Strategy for Term 1 | Board Exam,2021-10-09,202037,0,903,Oct
164,Electric Charges & Fields | Class 12th Physics for Boards | MCQ Series - Term 1,2021-10-08,227493,0,526,Oct
165,Hydrogen Bonding and Boiling Point | Chemical Bonding | JEE/NEET | Important Graphs,2021-10-08,12902,0,102,Oct
166,Reproductive Health | Class 12th Biology for Boards | MCQ Series - Term 1 | Most Important Questions,2021-10-07,27796,0,45,Oct
167,Determinants | Class 12th Maths for Boards | MCQ Series - Term 1 | Most Important Questions,2021-10-05,82099,0,147,Oct
168,Hydrogen Bonding and It's Types - Chemical Bonding Lec 11 | Complete Inorganic Chemistry | JEE/NEET,2021-10-04,13061,0,101,Oct
169,Intermolecular Forces | Chemical Bonding Lecture -10 | Complete Inorganic Chemistry,2021-10-02,13567,0,114,Oct
170,Back Bonding | Chemical bonding Lecture 9 | Complete Inorganic Chemistry in 80 Hours,2021-10-01,17382,0,127,Oct
171,Human Reproduction 12th Boards | MCQ Series - Term 1 | Most Important Questions,2021-09-30,24061,0,68,Sep
172,Matrix | 12th Boards | MCQ Series - Term 1 | Most Important Questions,2021-09-29,82288,0,273,Sep
173,Dipole Moment | Chemical Bonding Lecture 8 | Complete Inorganic Chemistry,2021-09-29,20400,0,78,Sep
174,DRONA NEET Batch for NEET Dropper 2022 | Strongest NEET Faculties Batch,2021-09-16,46800,0,822,Sep
175,Bond Length & Bond Dissociation Energy | Chemical Bonding | Lecture 7.3 | JEE/NEET,2021-09-14,21150,0,303,Sep
176,NEET Exam 2021 - Paper Discussion  with Video Solutions and Answer Key🔥,2021-09-12,89675,0,262,Sep
177,Bond Angles | Chemical Bonding Lecture 7.2 | JEE/NEET,2021-09-10,20725,0,236,Sep
178,Sexual Reproduction in Flowering Plant | MCQ Question Practice for Boards | Class 12th Biology,2021-09-07,34743,0,124,Sep
179,Inverse Trigonometric Functions  | MCQ Question Practice for Boards | Class 12th,2021-09-01,123705,0,406,Sep
180,Chemical Bonding - Drago's Compound & Bond Angles| Lecture 7 :  | Complete Inorganic Chemistry,2021-09-01,25530,0,159,Sep
181,Sexual Reproduction in Flowering Plants | Class 12th,2021-08-28,55965,0,132,Aug
182,Resonance | No. of P Pi - P Pi Bonds | Chemical Bonding L6 | JEE | NEET,2021-08-28,29974,0,219,Aug
183,Functions - MCQ Practice for Class 12 Board Term 1,2021-08-26,86491,0,314,Aug
184,Relations & Functions | Class 12th Boards 2021 Term 1 MCQs Series,2021-08-25,176155,0,532,Aug
185,Hybridization and Bent's Rule || Chemical Bonding L-5 || JEE/NEET || Complete Inorganic Chemistry,2021-08-24,32288,0,289,Aug
186,Secret Room Date Reveal - Our Biggest Launch Till Date 🔥 | Revolution Phase 2.0 | Indian Education,2021-08-23,178597,0,1413,Aug
187,Hybridization  | Chemical Bonding -4 | Complete Inorganic Chemistry | JEE/NEET,2021-08-18,46978,0,343,Aug
188,VSEPR Theory in One Shot | Chemical bonding L-3 | JEE / NEET,2021-08-16,40022,0,347,Aug
189,Valence Bond Theory ONE SHOT | Chemical Bonding Lecture 2 | Inorganic Chemistry for JEE / NEET,2021-08-09,65927,0,530,Aug
190,Chemical Bonding | Lecture 1 | Lewis Dot Structure & Octet Rule | JEE/NEET,2021-08-07,80131,0,387,Aug
191,Basic Inorganic Nomenclature for JEE/NEET in ONE SHOT,2021-08-04,143979,0,597,Aug
192,Should you drop a year for IIT JEE preparation | Drop year for JEE Main/Advance | Drona,2021-08-03,254172,0,2910,Aug
193,Periodic Table - Lecture 4 | Complete Inorganic Chemistry for JEE/NEET,2021-07-30,64338,0,501,Jul
194,Class 12 Board | Removed Questions and Exercises of Physics | Chemistry | Mathematics | 2021-22,2021-07-28,111024,0,1268,Jul
195,Ionisation Energy | Periodic Table Lecture 3 | Complete Inorganic Chemistry | JEE/NEET,2021-07-27,62753,0,453,Jul
196,"Penetration Effect, Shielding Effect | Periodic Table - Lecture 2 | Inorganic for JEE / NEET",2021-07-25,129017,0,863,Jul
197,Inorganic Chemistry for JEE/NEET | Periodic Table | Lecture 1,2021-07-23,408853,0,2138,Jul
198,Vectors for Class 12 | Lecture 7 -  SCALAR TRIPLE PRODUCT,2021-07-13,35829,0,397,Jul
199,NEET Big News - Date Announced | Do not fear Failure,2021-07-12,124157,0,326,Jul
200,Vector Algebra for Class 12  | Lecture 6 - Area of Triangle & Parallelogram,2021-07-11,26358,0,116,Jul
201,Vector Algebra for Class 12 | Lecture 5 - Cross Product,2021-07-07,34520,0,225,Jul
202,New Notes ❤️🔥 for Class 12 Students,2021-07-04,163372,0,1420,Jul
203,"Vector Algebra | Class 12 Maths | Lecture 4 | Perpendicular Vectors, Unit Vectors",2021-07-03,43299,0,181,Jul
204,"Current Electricity for Class 12 | Lecture 3 - Kirchhoff's Law, Wheatstone Bridge, Cells Combination",2021-07-01,359372,0,2713,Jul
205,Vector Algebra for Class 12 | Lecture 3 - Dot Product,2021-06-28,52782,0,354,Jun
206,Vector Algebra - Class 12 Maths | Lecture 2,2021-06-26,71585,0,373,Jun
207,Vectors for Class 12 | Board Exam | Lecture 1,2021-06-16,190841,0,597,Jun
208,"Current Electricity for Class 12 | Electrical Energy, Series & Parallel Combinations | Part -2",2021-06-06,261309,0,1720,Jun
209,#ApniMeme - Board Exam Cancelled | Not an educational video,2021-06-02,387165,0,1915,Jun
210,Launching Apni Kaksha 2.0 🔥| Trailer ​@Apni Kaksha - 9th & 10th,2021-05-31,174616,0,1799,May
211,Semiconductor Class 12 Notes for Board Exam,2021-05-30,152008,0,624,May
212,"Current Electricity Class 12 | Electricity, Ohm's Law, Drift Velocity | Part-1 | One Shot",2021-05-28,701844,0,2390,May
213,"Electrostatic Potential & Capacitance Class 12 | Part 3 - Dielectric, MCQ's, Case Studies | One Shot",2021-05-24,295562,0,1174,May
214,Meme - 1 Million Celebrations of Apni Kaksha 🔥 | Not an educational video,2021-05-22,365469,0,3241,May
215,Biomolecules Class 12 Board | Complete Chapter One Shot,2021-05-22,675070,0,1480,May
216,"Electrostatic Potential and Capacitance Class 12 | Part 2 - Capacitors, Series Parallel | One Shot",2021-05-21,476852,0,1185,May
217,Nuclei Class 12 NCERT Notes for Board Examination | All Previous Year Questions included,2021-05-20,122468,0,573,May
218,"Electrostatic Potential and Capacitance Class 12 | Part 1 :Potential, Potential Energy | One Shot",2021-05-19,914347,0,1811,May
219,2.Coordination Chemistry Class 12 | Crystal Field Theory | One Shot for Class 12 Board #OPSir,2021-05-18,216164,0,403,May
220,"Electric Charges and Fields Class 12 | Part 2 : Electric Flux, Gauss Law | One Shot",2021-05-17,843552,0,2418,May
221,"Coordination Compounds Class 12 | Part 1 : Werner's Theory, Valence Bond Theory| One Shot",2021-05-16,675305,0,876,May
222,"Electric Charges and Fields Class 12 | Part-1 : Charge, Electric Field & Dipole | One Shot",2021-05-15,2600750,0,6403,May
223,JEE Main - Complex Numbers all Previous Year Qs of 2019 & 2020,2021-05-10,58632,0,406,May
224,Surface Chemistry in One Shot | Class 12 Board | Complete Theory | All PYQ's #OPSir,2021-05-08,692688,0,1368,May
225,JEE Main - Quadratic Equations | All Previous Year Qs of 2019 & 2020,2021-05-06,51960,0,180,May
226,JEE Main - Circles all Previous Year Qs of 2019 & 2020,2021-05-04,43970,0,160,May
227,Solutions - Class 12 NCERT Theory and Previous Year Qs | Part - 2 #OPSir,2021-05-03,196584,0,411,May
228,Strong message for students in early 20's | Aman Dhattarwal,2021-05-03,537168,0,741,May
229,Solutions Chapter - Class 12 NCERT + All Previous Year Qs in 4.5 Hours  | Part -1 #OPSir,2021-04-29,648546,0,1052,Apr
230,JEE Main - Binomial Theorem all Previous Year Qs of 2019 & 2020,2021-04-29,40612,0,140,Apr
231,JEE Main - Trigonometry all Previous Year Qs of 2019 & 2020,2021-04-27,41043,0,125,Apr
232,Chemical Kinetics in One Shot | Class 12 NCERT | Theory + All Previous Year Qs,2021-04-26,1042546,0,1911,Apr
233,JEE Main - Mathematical Reasoning all Previous Year Qs of 2019 & 2020,2021-04-24,33208,0,181,Apr
